,precision,recall,f1-score,support
Age_Macular,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
Central_Serous,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
Diabetic,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
Macular_Hole,1.0,0.95,0.9743589743589743,20.0
Normal,1.0,1.0,1.0,41.0
accuracy,0.956140350877193,0.956140350877193,0.956140350877193,0.956140350877193
macro avg,0.9359307359307358,0.9345887445887445,0.935030860612256,114.0
weighted avg,0.9569377990430622,0.956140350877193,0.956333887790436,114.0
