Epoch,Train_Loss,Train_Accuracy
1,0.3014503595670132,0.8730593607305936
2,0.08771412640163616,0.9689497716894977
3,0.0364642055987457,0.9872146118721461
4,0.031875726874050214,0.9863013698630136
5,0.01925478298015059,0.989041095890411
6,0.004289614197793555,0.9990867579908675
7,0.000680690397541068,1.0
8,0.0001304582228616186,1.0
9,0.00015661493961733328,1.0
10,8.904068896988966e-05,1.0
11,0.0003060857150641208,1.0
12,0.00024531507312290304,1.0
13,0.0009660466865629647,0.9990867579908675
14,0.00029623542414690363,1.0
15,0.0001539620131315533,1.0
