Epoch,Train_Loss,Train_Accuracy
1,0.2547014055220776,0.8876712328767123
2,0.08824900298222015,0.965296803652968
3,0.08757631995595065,0.965296803652968
4,0.027928196045582835,0.9926940639269406
5,0.0745841792636587,0.9744292237442922
6,0.025840080834895408,0.9899543378995433
7,0.008774996490417618,0.9981735159817352
8,0.0028715888788398954,0.9990867579908675
9,0.0034472608631860822,0.9990867579908675
10,0.02248994621345093,0.9917808219178083
11,0.01842931290259468,0.9945205479452055
12,0.006343863318871216,0.9963470319634703
13,0.037561991319767854,0.9908675799086758
14,0.014969460174258474,0.993607305936073
15,0.0018944005567947781,0.9990867579908675
