,precision,recall,f1-score,support
0,0.5,0.4,0.4444444444444444,5.0
1,0.0,0.0,0.0,6.0
2,0.5,0.1,0.16666666666666666,10.0
3,0.25,1.0,0.4,3.0
4,0.8181818181818182,0.9,0.8571428571428571,10.0
accuracy,0.4411764705882353,0.4411764705882353,0.4411764705882353,0.4411764705882353
macro avg,0.4136363636363637,0.48,0.3736507936507937,34.0
weighted avg,0.48328877005347587,0.4411764705882353,0.4017740429505135,34.0
