,precision,recall,f1-score,support
0,0.0,0.0,0.0,3.0
1,0.16666666666666666,0.4,0.23529411764705882,5.0
2,0.0,0.0,0.0,3.0
3,0.0,0.0,0.0,7.0
4,0.4444444444444444,0.5,0.47058823529411764,16.0
accuracy,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354
macro avg,0.1222222222222222,0.18,0.1411764705882353,34.0
weighted avg,0.23366013071895422,0.29411764705882354,0.2560553633217993,34.0
