,precision,recall,f1-score,support
0,0.5,0.5,0.5,2.0
1,0.0,0.0,0.0,4.0
2,0.3333333333333333,0.42857142857142855,0.375,7.0
3,0.3076923076923077,0.8,0.4444444444444444,5.0
4,1.0,0.25,0.4,16.0
accuracy,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826
macro avg,0.4282051282051282,0.39571428571428574,0.3438888888888889,34.0
weighted avg,0.6138763197586727,0.35294117647058826,0.36021241830065365,34.0
