epoch,accuracy,loss,val_accuracy,val_loss
0,0.08695652335882187,7.016312122344971,0.07692307978868484,4.632447719573975
1,0.08074533939361572,6.879445552825928,0.0923076942563057,5.258871078491211
2,0.07453416287899017,7.475046157836914,0.0923076942563057,3.4191911220550537
3,0.1552795022726059,5.331315517425537,0.35384616255760193,1.6975202560424805
4,0.1801242232322693,4.648611545562744,0.10769230872392654,2.3571743965148926
5,0.19254659116268158,4.184693336486816,0.1846153885126114,1.904598593711853
6,0.25465837121009827,4.041048049926758,0.5692307949066162,1.1282739639282227
7,0.18633539974689484,4.590736389160156,0.4615384638309479,1.3650063276290894
8,0.30434781312942505,3.872490406036377,0.446153849363327,1.3066860437393188
9,0.3354037404060364,3.622542381286621,0.4615384638309479,1.4109697341918945
10,0.3664596378803253,3.127535343170166,0.5692307949066162,1.0702191591262817
11,0.3229813575744629,3.4598734378814697,0.6461538672447205,0.9786959886550903
12,0.31677019596099854,3.4333226680755615,0.6000000238418579,1.0352721214294434
13,0.3726707994937897,2.472266674041748,0.6000000238418579,1.0844459533691406
14,0.3354037404060364,3.122087240219116,0.6000000238418579,1.099130392074585
15,0.3726707994937897,3.0356340408325195,0.6307692527770996,1.0571393966674805
16,0.4409937858581543,1.878242015838623,0.6461538672447205,0.9973820447921753
0,0.3602484464645386,9.999999747378752e-05,3.8821861743927,0.6000000238418579,1.4568102359771729
1,0.3726707994937897,9.999999747378752e-05,3.562469720840454,0.6000000238418579,1.3199117183685303
2,0.31677019596099854,9.999999747378752e-05,3.432115316390991,0.6153846383094788,1.1813890933990479
3,0.25465837121009827,9.999999747378752e-05,3.0045998096466064,0.5384615659713745,1.2684783935546875
4,0.19875776767730713,9.999999747378752e-05,3.0199851989746094,0.4153846204280853,1.5322259664535522
5,0.13664595782756805,9.999999747378752e-05,2.852391242980957,0.2461538463830948,1.791898250579834
6,0.11801242083311081,1.9999999494757503e-05,3.062114715576172,0.23076923191547394,1.833401083946228
7,0.14906832575798035,1.9999999494757503e-05,2.7092320919036865,0.2461538463830948,1.8308203220367432
0,0.1552795022726059,9.999999747378752e-06,2.3639910221099854,0.6153846383094788,1.1815197467803955
1,0.14906832575798035,9.999999747378752e-06,2.411888599395752,0.6153846383094788,1.1839470863342285
2,0.19254659116268158,9.999999747378752e-06,2.5048038959503174,0.6153846383094788,1.1834537982940674
3,0.12422360479831696,9.999999747378752e-06,2.5612354278564453,0.6307692527770996,1.1798449754714966
4,0.20496894419193268,9.999999747378752e-06,2.4380147457122803,0.6307692527770996,1.1797457933425903
