Epoch,Train Loss,Train Acc,Val Acc
1,0.2432694927402283,0.9052511415525114,0.9497716894977168
2,0.08085549165192804,0.9703196347031964,0.9657534246575342
3,0.0360648594626553,0.9885844748858448,0.9703196347031964
4,0.012849829657232924,0.9954337899543378,0.9680365296803652
5,0.01431784984978877,0.9954337899543378,0.954337899543379
6,0.02450211367093571,0.992579908675799,0.9794520547945206
7,0.013020298793512188,0.9965753424657534,0.9817351598173516
8,0.01075000356144982,0.9971461187214612,0.9885844748858448
9,0.014107125224418019,0.9982876712328768,0.9840182648401826
10,0.0008738199683473994,1.0,0.9840182648401826
