Epoch,Train Loss,Train Acc,Val Acc
1,0.2610130682417519,0.8949771689497716,0.958904109589041
2,0.05199487141618445,0.9800228310502284,0.9474885844748858
3,0.03668836113830952,0.9863013698630136,0.9497716894977168
4,0.013728330913318754,0.9960045662100456,0.9680365296803652
5,0.01541796323341492,0.9948630136986302,0.958904109589041
6,0.02157797296659077,0.9914383561643836,0.95662100456621
7,0.008497241729515345,0.997716894977169,0.9726027397260274
8,0.002106241133254336,1.0,0.954337899543379
9,0.0036243593114463836,0.9988584474885844,0.9680365296803652
10,0.000853262665218006,1.0,0.9748858447488584
