Epoch,Train Loss,Train Acc,Val Acc
1,0.24942355647206851,0.8995433789954338,0.9429223744292238
2,0.06521610754486769,0.9771689497716894,0.9657534246575342
3,0.04653382413599589,0.9874429223744292,0.9771689497716894
4,0.017434428716035875,0.9960045662100456,0.9748858447488584
5,0.014642880790437397,0.9942922374429224,0.9748858447488584
6,0.0028305571892013833,1.0,0.9634703196347032
7,0.02934795877307262,0.9891552511415526,0.9657534246575342
8,0.007201899245985226,0.9988584474885844,0.9657534246575342
9,0.008096141584396158,0.997716894977169,0.9657534246575342
10,0.003940284603007444,0.9988584474885844,0.9680365296803652
