Epoch,Train Loss,Train Acc,Val Acc
1,0.28046188840310865,0.8812785388127854,0.9657534246575342
2,0.06795112424653414,0.978310502283105,0.95662100456621
3,0.021427160522317915,0.9948630136986302,0.9497716894977168
4,0.01645330383578426,0.9954337899543378,0.9657534246575342
5,0.019185977643483305,0.9942922374429224,0.9452054794520548
6,0.026541683499671554,0.9942922374429224,0.9634703196347032
7,0.024051045734737257,0.9914383561643836,0.9771689497716894
8,0.003951967385019172,0.9982876712328768,0.9771689497716894
9,0.002006150026936998,1.0,0.9611872146118722
10,0.006339329464964943,0.9982876712328768,0.9680365296803652
