Epoch,Train Loss,Train Acc,Val Acc
1,0.27093427359513494,0.8915525114155252,0.9474885844748858
2,0.0743485707364398,0.9726027397260274,0.9657534246575342
3,0.029631604552141404,0.9908675799086758,0.9726027397260274
4,0.00940643291501541,0.9982876712328768,0.9771689497716894
5,0.016009111838738464,0.9965753424657534,0.9429223744292238
6,0.01801219461996057,0.9937214611872146,0.954337899543379
7,0.007422754931216847,0.9988584474885844,0.9840182648401826
8,0.001475122413591622,1.0,0.9817351598173516
9,0.014504150555790168,0.9954337899543378,0.958904109589041
10,0.029682657317807004,0.992579908675799,0.9748858447488584
