epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.1677018702030182,9.999999747378752e-05,1.9318455457687378,0.0,2.061816930770874
1,0.1801242232322693,9.999999747378752e-05,1.9607088565826416,0.0,2.0455615520477295
2,0.18633539974689484,9.999999747378752e-05,1.9408247470855713,0.03076923079788685,2.0565669536590576
3,0.13664595782756805,9.999999747378752e-05,1.9511268138885498,0.0615384615957737,2.0571765899658203
4,0.16149067878723145,9.999999747378752e-05,1.8997772932052612,0.0615384615957737,2.058741807937622
5,0.17391304671764374,9.999999747378752e-05,1.9012049436569214,0.0615384615957737,2.061066150665283
6,0.2484472095966339,9.999999747378752e-05,1.927531361579895,0.0923076942563057,2.065361738204956
7,0.20496894419193268,9.999999747378752e-05,1.9069983959197998,0.0923076942563057,2.0662481784820557
8,0.2484472095966339,9.999999747378752e-05,1.9004982709884644,0.0923076942563057,2.0678598880767822
9,0.3105590045452118,9.999999747378752e-05,1.878798007965088,0.0923076942563057,2.074049711227417
10,0.26708075404167175,9.999999747378752e-05,1.9332669973373413,0.0923076942563057,2.0967884063720703
11,0.2857142984867096,1.9999999494757503e-05,1.9123656749725342,0.0615384615957737,2.106261730194092
12,0.24223601818084717,1.9999999494757503e-05,1.895033597946167,0.0615384615957737,2.1178295612335205
13,0.22981366515159607,1.9999999494757503e-05,1.8557987213134766,0.0615384615957737,2.128058671951294
14,0.2484472095966339,1.9999999494757503e-05,1.9020684957504272,0.0615384615957737,2.1381983757019043
