epoch,accuracy,loss,val_accuracy,val_loss
0,0.2068965584039688,0.6316173076629639,0.4166666567325592,0.2395145744085312
1,0.22413793206214905,0.48757433891296387,0.125,0.35535407066345215
2,0.1551724076271057,0.5152667760848999,0.125,0.3313307762145996
3,0.18965516984462738,0.5040125846862793,0.25,0.29239293932914734
4,0.2586206793785095,0.46637091040611267,0.2916666567325592,0.23606522381305695
5,0.3103448152542114,0.40221652388572693,0.5,0.2159111052751541
6,0.17241379618644714,0.5206941366195679,0.5,0.2155994325876236
7,0.27586206793785095,0.4200071096420288,0.4583333432674408,0.2170129269361496
8,0.22413793206214905,0.48938125371932983,0.375,0.22103607654571533
9,0.22413793206214905,0.4108233153820038,0.4166666567325592,0.22459764778614044
10,0.3448275923728943,0.3618818521499634,0.4166666567325592,0.2190883308649063
11,0.2586206793785095,0.3701190948486328,0.375,0.20779524743556976
12,0.32758620381355286,0.40584349632263184,0.4166666567325592,0.20094723999500275
13,0.3103448152542114,0.377310574054718,0.5,0.20228223502635956
14,0.3448275923728943,0.4014633893966675,0.4166666567325592,0.2094975709915161
15,0.17241379618644714,0.4654134213924408,0.4583333432674408,0.2085808962583542
16,0.36206895112991333,0.372837096452713,0.4166666567325592,0.20353782176971436
17,0.36206895112991333,0.39946964383125305,0.4166666567325592,0.19888333976268768
18,0.24137930572032928,0.3658255934715271,0.5,0.19110490381717682
19,0.37931033968925476,0.3542998135089874,0.4583333432674408,0.1887352615594864
