epoch,accuracy,loss,val_accuracy,val_loss
0,0.14035087823867798,0.7582854628562927,0.08695652335882187,0.7844674587249756
1,0.15789473056793213,0.6820576190948486,0.08695652335882187,0.7844674587249756
2,0.22807016968727112,0.6384981274604797,0.08695652335882187,0.4512777030467987
3,0.15789473056793213,0.5935263633728027,0.17391304671764374,0.3730970323085785
4,0.2631579041481018,0.49340009689331055,0.260869562625885,0.2637663781642914
5,0.15789473056793213,0.6054827570915222,0.43478259444236755,0.23807060718536377
6,0.17543859779834747,0.6580166220664978,0.3913043439388275,0.2523000240325928
7,0.2631579041481018,0.610247790813446,0.3913043439388275,0.25127241015434265
8,0.14035087823867798,0.6595398783683777,0.3913043439388275,0.22653347253799438
9,0.15789473056793213,0.553005039691925,0.52173912525177,0.2174091339111328
10,0.22807016968727112,0.6012334823608398,0.3478260934352875,0.2297549843788147
11,0.28070175647735596,0.552759051322937,0.30434781312942505,0.2416665256023407
12,0.24561403691768646,0.4449959397315979,0.260869562625885,0.2393399327993393
13,0.24561403691768646,0.42215317487716675,0.260869562625885,0.23751287162303925
14,0.2982456088066101,0.46403074264526367,0.30434781312942505,0.23561958968639374
