,precision,recall,f1-score,support
Normal,1.0,1.0,1.0,245.0
Abnormal,1.0,1.0,1.0,850.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,1095.0
weighted avg,1.0,1.0,1.0,1095.0
