Epoch,Train Loss,Train Acc,Val Acc
1,1.376459125486453,0.4551422319474836,0.3652173913043478
2,0.7986493192825067,0.8577680525164114,0.7217391304347827
3,0.3224514855206404,0.9781181619256017,0.8
4,0.0740933969486464,0.9934354485776805,0.8956521739130435
5,0.029165478190916635,0.9956236323851203,0.8956521739130435
6,0.01763617353314122,0.9978118161925602,0.8956521739130435
7,0.015028461239237493,0.9978118161925602,0.9130434782608695
8,0.012239358161680026,0.9978118161925602,0.9304347826086956
9,0.027830622527805406,0.9978118161925602,0.8869565217391304
10,0.03061267681811127,0.9956236323851203,0.8956521739130435
