Epoch,Train Loss,Train Acc,Val Acc
1,1.3880240412258165,0.5480349344978166,0.4649122807017544
2,0.6746084906128296,0.9192139737991266,0.7631578947368421
3,0.20274438666724742,0.9781659388646288,0.7894736842105263
4,0.06225085694456725,0.9934497816593887,0.9035087719298246
5,0.033164369357204855,0.9956331877729258,0.9035087719298246
6,0.02468085334550866,0.9912663755458515,0.8947368421052632
7,0.024644153054364383,0.9956331877729258,0.9035087719298246
8,0.011231850474812578,1.0,0.9122807017543859
9,0.01201697957893126,0.9978165938864629,0.8947368421052632
10,0.005998622943285251,1.0,0.8947368421052632
