Epoch,Train Loss,Train Acc,Val Acc
1,1.3725192695530029,0.5120350109409191,0.3826086956521739
2,0.7188892213207888,0.9059080962800875,0.591304347826087
3,0.2723213773978878,0.975929978118162,0.6
4,0.07151435527551096,0.9956236323851203,0.8608695652173913
5,0.03890339018577298,0.9956236323851203,0.8695652173913043
6,0.01590287356884005,1.0,0.8521739130434782
7,0.008063080588139643,1.0,0.9391304347826087
8,0.007220405392365069,1.0,0.9565217391304348
9,0.008763880662505944,1.0,0.9304347826086956
10,0.014192676860472306,1.0,0.9391304347826087
