Epoch,Train Loss,Train Acc,Val Acc
1,1.4096276905859402,0.39737991266375544,0.42105263157894735
2,0.7649103020476462,0.8995633187772926,0.6929824561403509
3,0.3159949642211589,0.9606986899563319,0.8157894736842105
4,0.08818727868352914,0.9912663755458515,0.9298245614035088
5,0.028342088172008898,0.9978165938864629,0.9385964912280702
6,0.027300058530570378,0.9978165938864629,0.9210526315789473
7,0.01238789451694905,1.0,0.956140350877193
8,0.01312845929090633,0.9978165938864629,0.9210526315789473
9,0.02512687097779398,0.9956331877729258,0.8859649122807017
10,0.01177063600595341,0.9978165938864629,0.9122807017543859
