Epoch,Train_Loss,Train_Accuracy
1,1.2459773741117337,0.5435540069686411
2,0.4292339458282816,0.9024390243902439
3,0.10356188809518614,0.975609756097561
4,0.0651387693003495,0.9860627177700348
5,0.07944182776407913,0.9790940766550522
6,0.22901215945542483,0.9198606271777003
7,0.0810246064428253,0.9790940766550522
8,0.016863793546807684,1.0
9,0.006449470113158122,1.0
10,0.0034410454311938664,1.0
11,0.0036988675696548166,1.0
12,0.005068149809982751,1.0
13,0.005922953266397326,1.0
14,0.004037034136441111,1.0
15,0.01569090266338832,0.9965156794425087
