Epoch,Train_Loss,Train_Accuracy
1,1.302820789274023,0.6167247386759582
2,0.47791869328308606,0.9128919860627178
3,0.20455423303805162,0.9407665505226481
4,0.10506941685096105,0.975609756097561
5,0.12830507975616834,0.9790940766550522
6,0.03950516678366927,0.9895470383275261
7,0.01795036962680934,0.9965156794425087
8,0.03778831516019351,0.9895470383275261
9,0.05924079592180688,0.9895470383275261
10,0.010186543489420196,1.0
11,0.015358453201947779,0.9965156794425087
12,0.03234317774465794,0.9895470383275261
13,0.012238410531903393,1.0
14,0.024577639632345622,0.9930313588850174
15,0.025292885748958313,0.9930313588850174
