,precision,recall,f1-score,support
Age_Macular,1.0,1.0,1.0,28.0
Central_Serous,1.0,1.0,1.0,51.0
Diabetic,1.0,1.0,1.0,54.0
Macular_Hole,1.0,1.0,1.0,51.0
Normal,1.0,1.0,1.0,103.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,287.0
weighted avg,1.0,1.0,1.0,287.0
