epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.17901234328746796,9.999999747378752e-05,2.4849374294281006,0.2769230902194977,1.964644432067871
1,0.26543208956718445,9.999999747378752e-05,2.049832582473755,0.4769230782985687,1.6771514415740967
2,0.35185185074806213,9.999999747378752e-05,2.085883855819702,0.5076923370361328,1.5991649627685547
3,0.31481480598449707,9.999999747378752e-05,1.8813453912734985,0.5230769515037537,1.5534533262252808
4,0.32098764181137085,9.999999747378752e-05,1.7310525178909302,0.5384615659713745,1.4986032247543335
5,0.31481480598449707,9.999999747378752e-05,1.6830931901931763,0.5538461804389954,1.492749810218811
6,0.37037035822868347,9.999999747378752e-05,1.5722132921218872,0.5384615659713745,1.5399175882339478
7,0.43209877610206604,9.999999747378752e-05,1.6275904178619385,0.5230769515037537,1.5899474620819092
8,0.5493826866149902,9.999999747378752e-05,1.3812525272369385,0.5076923370361328,1.6286407709121704
9,0.48148149251937866,9.999999747378752e-05,1.5214142799377441,0.5230769515037537,1.6123443841934204
10,0.5493826866149902,1.9999999494757503e-05,1.3720979690551758,0.5230769515037537,1.6132073402404785
11,0.5802469253540039,1.9999999494757503e-05,1.4456524848937988,0.5230769515037537,1.5811811685562134
12,0.5740740895271301,1.9999999494757503e-05,1.3001278638839722,0.5538461804389954,1.536573052406311
13,0.5432098507881165,1.9999999494757503e-05,1.368512511253357,0.6000000238418579,1.5162526369094849
14,0.5864197611808777,1.9999999494757503e-05,1.121159315109253,0.6000000238418579,1.5082207918167114
15,0.5432098507881165,1.9999999494757503e-05,1.307127833366394,0.6153846383094788,1.510333776473999
16,0.5987654328346252,1.9999999494757503e-05,1.1803680658340454,0.6153846383094788,1.5197566747665405
17,0.654321014881134,1.9999999494757503e-05,1.1467430591583252,0.6153846383094788,1.523720383644104
18,0.6111111044883728,1.9999999494757503e-05,1.200685977935791,0.6153846383094788,1.5042251348495483
19,0.5679012537002563,1.9999999494757503e-05,1.1510909795761108,0.6153846383094788,1.4942251443862915
20,0.604938268661499,3.999999989900971e-06,1.183769941329956,0.6153846383094788,1.4920746088027954
21,0.5493826866149902,3.999999989900971e-06,1.341892957687378,0.6153846383094788,1.4874799251556396
22,0.5617284178733826,3.999999989900971e-06,1.2576782703399658,0.6153846383094788,1.4845634698867798
23,0.5308641791343689,3.999999989900971e-06,1.4145394563674927,0.6153846383094788,1.4786427021026611
